epoch,step,train_loss
0,19,0.10013911128044128
0,39,0.08500908315181732
0,59,0.09029734134674072
0,79,0.07085192203521729
0,99,0.068319171667099
0,119,0.06698429584503174
0,139,0.05648503825068474
0,159,0.05720354616641998
0,179,0.056970082223415375
0,199,0.05358543246984482
0,219,0.056057482957839966
0,239,0.0451129674911499
0,259,0.04527369141578674
0,279,0.046261854469776154
0,299,0.05227324366569519
0,319,0.049440719187259674
0,339,0.045157164335250854
0,359,0.04569719359278679
1,379,0.041863955557346344
1,399,0.05007287114858627
1,419,0.04930984601378441
1,439,0.0417296402156353
1,459,0.03895283490419388
1,479,0.04563230276107788
1,499,0.0459512397646904
1,519,0.039783407002687454
1,539,0.03455696627497673
1,559,0.03950907289981842
1,579,0.04524713754653931
1,599,0.04255230352282524
1,619,0.04432440549135208
1,639,0.0411049947142601
1,659,0.03803575783967972
1,679,0.046808820217847824
1,699,0.038502439856529236
1,719,0.041019123047590256
1,739,0.037934042513370514
2,759,0.035403065383434296
2,779,0.03783746063709259
2,799,0.033817969262599945
2,819,0.04402555525302887
2,839,0.037556134164333344
2,859,0.040290575474500656
2,879,0.034391991794109344
2,899,0.03688819706439972
2,919,0.0331418551504612
2,939,0.035770513117313385
2,959,0.03332710266113281
2,979,0.03465814143419266
2,999,0.033149875700473785
2,1019,0.03938569128513336
2,1039,0.03812536597251892
2,1059,0.04159979522228241
2,1079,0.03112359344959259
2,1099,0.036859896034002304
2,1119,0.031653471291065216
3,1139,0.031211145222187042
3,1159,0.030270308256149292
3,1179,0.03262372687458992
3,1199,0.03141801431775093
3,1219,0.03831925988197327
3,1239,0.03748997300863266
3,1259,0.03274879977107048
3,1279,0.03389433026313782
3,1299,0.027368536219000816
3,1319,0.03598491847515106
3,1339,0.03171715885400772
3,1359,0.03344021365046501
3,1379,0.032861631363630295
3,1399,0.031194448471069336
3,1419,0.03091452084481716
3,1439,0.03843657299876213
3,1459,0.03020951710641384
3,1479,0.03093724325299263
3,1499,0.02772914245724678
4,1519,0.028328202664852142
4,1539,0.02878669463098049
4,1559,0.02889639139175415
4,1579,0.034379154443740845
4,1599,0.034564580768346786
4,1619,0.03181397542357445
4,1639,0.02890995517373085
4,1659,0.03804097697138786
4,1679,0.03369275480508804
4,1699,0.0303785502910614
4,1719,0.03298395499587059
4,1739,0.034337177872657776
4,1759,0.027236048132181168
4,1779,0.028997346758842468
4,1799,0.0316341258585453
4,1819,0.028646161779761314
4,1839,0.032670632004737854
4,1859,0.02566440962255001
5,1879,0.02899511717259884
5,1899,0.03538071736693382
5,1919,0.029221970587968826
5,1939,0.03254404291510582
5,1959,0.0306360125541687
5,1979,0.035650044679641724
5,1999,0.027549590915441513
5,2019,0.02710292860865593
5,2039,0.03299062326550484
5,2059,0.030558887869119644
5,2079,0.03018787130713463
5,2099,0.031167319044470787
5,2119,0.03138642758131027
5,2139,0.03130113333463669
5,2159,0.029056377708911896
5,2179,0.02771134488284588
5,2199,0.03098563849925995
5,2219,0.028938746079802513
5,2239,0.040080562233924866
6,2259,0.029903240501880646
6,2279,0.03276544064283371
6,2299,0.026100752875208855
6,2319,0.029847823083400726
6,2339,0.028695903718471527
6,2359,0.02997107431292534
6,2379,0.030653011053800583
6,2399,0.031749457120895386
6,2419,0.0249284990131855
6,2439,0.03033447265625
6,2459,0.03153970092535019
6,2479,0.029284905642271042
6,2499,0.026633119210600853
6,2519,0.025812512263655663
6,2539,0.028875676915049553
6,2559,0.030871551483869553
6,2579,0.03081999346613884
6,2599,0.0260523222386837
6,2619,0.02843601070344448
7,2639,0.03179048001766205
7,2659,0.033181965351104736
7,2679,0.03166842460632324
7,2699,0.027909696102142334
7,2719,0.04027245193719864
7,2739,0.02599276974797249
7,2759,0.028469180688261986
7,2779,0.027074124664068222
7,2799,0.034579452127218246
7,2819,0.03526972606778145
7,2839,0.02933226153254509
7,2859,0.02884642779827118
7,2879,0.029773782938718796
7,2899,0.02838764153420925
7,2919,0.026941074058413506
7,2939,0.031176608055830002
7,2959,0.02390824630856514
7,2979,0.025477668270468712
7,2999,0.027713874354958534
8,3019,0.030900485813617706
8,3039,0.03234206885099411
8,3059,0.02638545259833336
8,3079,0.03297649323940277
8,3099,0.02865343913435936
8,3119,0.025580406188964844
8,3139,0.026937086135149002
8,3159,0.03366781026124954
8,3179,0.02311006747186184
8,3199,0.03277556970715523
8,3219,0.026751887053251266
8,3239,0.023128947243094444
8,3259,0.028945360332727432
8,3279,0.032560963183641434
8,3299,0.022350681945681572
8,3319,0.026105280965566635
8,3339,0.02743460237979889
8,3359,0.0249177198857069
9,3379,0.029100244864821434
9,3399,0.026157092303037643
9,3419,0.026663077995181084
9,3439,0.02880215272307396
9,3459,0.029353246092796326
9,3479,0.023989006876945496
9,3499,0.028322875499725342
9,3519,0.028665762394666672
9,3539,0.029613671824336052
9,3559,0.03113332949578762
9,3579,0.03162400797009468
9,3599,0.024046625941991806
9,3619,0.026624402031302452
9,3639,0.028770139440894127
9,3659,0.03286626189947128
9,3679,0.02619253098964691
9,3699,0.029067814350128174
9,3719,0.023743486031889915
9,3739,0.028299294412136078
10,3759,0.024772560223937035
10,3779,0.032388489693403244
10,3799,0.023534253239631653
10,3819,0.030181920155882835
10,3839,0.027986127883195877
10,3859,0.024380486458539963
10,3879,0.026583727449178696
10,3899,0.022832851856946945
10,3919,0.02402755245566368
10,3939,0.029859274625778198
10,3959,0.023105179890990257
10,3979,0.03154774010181427
10,3999,0.023161977529525757
10,4019,0.027166521176695824
10,4039,0.02748066931962967
10,4059,0.02381058782339096
10,4079,0.02420152723789215
10,4099,0.026474803686141968
10,4119,0.022884830832481384
11,4139,0.022675875574350357
11,4159,0.025058185681700706
11,4179,0.030301891267299652
11,4199,0.03091173991560936
11,4219,0.024431144818663597
11,4239,0.02903508022427559
11,4259,0.02586386166512966
11,4279,0.03291121497750282
11,4299,0.026890616863965988
11,4319,0.025064487010240555
11,4339,0.022413816303014755
11,4359,0.025274943560361862
11,4379,0.025018826127052307
11,4399,0.027302470058202744
11,4419,0.024289725348353386
11,4439,0.02809828892350197
11,4459,0.027661731466650963
11,4479,0.031338177621364594
11,4499,0.028683358803391457
12,4519,0.029000071808695793
12,4539,0.022299673408269882
12,4559,0.0255049429833889
12,4579,0.0214291512966156
12,4599,0.02416263148188591
12,4619,0.026550814509391785
12,4639,0.026651380583643913
12,4659,0.03029686026275158
12,4679,0.031370893120765686
12,4699,0.023468777537345886
12,4719,0.024992352351546288
12,4739,0.028207724913954735
12,4759,0.026032274588942528
12,4779,0.025279229506850243
12,4799,0.031710125505924225
12,4819,0.022864151746034622
12,4839,0.023060407489538193
12,4859,0.026488421484827995
13,4879,0.023640643805265427
13,4899,0.026584496721625328
13,4919,0.026717713102698326
13,4939,0.027178406715393066
13,4959,0.02441444620490074
13,4979,0.026739519089460373
13,4999,0.02771824225783348
13,5019,0.02120538055896759
13,5039,0.023474624380469322
13,5059,0.02817155234515667
13,5079,0.02487330511212349
13,5099,0.02640688419342041
13,5119,0.02503080479800701
13,5139,0.025183644145727158
13,5159,0.025066230446100235
13,5179,0.024684317409992218
13,5199,0.024416249245405197
13,5219,0.02327650412917137
13,5239,0.02874370478093624
14,5259,0.028595251962542534
14,5279,0.024228114634752274
14,5299,0.01926576718688011
14,5319,0.030948108062148094
14,5339,0.02469808980822563
14,5359,0.02926383912563324
14,5379,0.023639952763915062
14,5399,0.023912783712148666
14,5419,0.023622555658221245
14,5439,0.029248256236314774
14,5459,0.030699795112013817
14,5479,0.02519773691892624
14,5499,0.022514279931783676
14,5519,0.02377408742904663
14,5539,0.02445356547832489
14,5559,0.02214067243039608
14,5579,0.023620663210749626
14,5599,0.025794953107833862
14,5619,0.021860575303435326
15,5639,0.02624819241464138
15,5659,0.024044852703809738
15,5679,0.028952427208423615
15,5699,0.028434518724679947
15,5719,0.023352032527327538
15,5739,0.029335152357816696
15,5759,0.023334011435508728
15,5779,0.020338695496320724
15,5799,0.029459409415721893
15,5819,0.03250373154878616
15,5839,0.029407601803541183
15,5859,0.03399621695280075
15,5879,0.027258506044745445
15,5899,0.024120256304740906
15,5919,0.02146787755191326
15,5939,0.025982964783906937
15,5959,0.024232327938079834
15,5979,0.023544704541563988
15,5999,0.02156323567032814
16,6019,0.028003200888633728
16,6039,0.022518163546919823
16,6059,0.026915183290839195
16,6079,0.023549554869532585
16,6099,0.0292550977319479
16,6119,0.021561436355113983
16,6139,0.021528001874685287
16,6159,0.026654642075300217
16,6179,0.025969695299863815
16,6199,0.023717578500509262
16,6219,0.024094771593809128
16,6239,0.02547638677060604
16,6259,0.031806644052267075
16,6279,0.023133158683776855
16,6299,0.024943169206380844
16,6319,0.029314493760466576
16,6339,0.028120093047618866
16,6359,0.023399075493216515
17,6379,0.026285585016012192
17,6399,0.026183035224676132
17,6419,0.02637522667646408
17,6439,0.028618112206459045
17,6459,0.02271125838160515
17,6479,0.023030102252960205
17,6499,0.023472819477319717
17,6519,0.023223310708999634
17,6539,0.029633209109306335
17,6559,0.024492084980010986
17,6579,0.02385113202035427
17,6599,0.023732682690024376
17,6619,0.027134176343679428
17,6639,0.020915409550070763
17,6659,0.022937407717108727
17,6679,0.023447185754776
17,6699,0.02013399638235569
17,6719,0.025679519400000572
17,6739,0.0230138897895813
18,6759,0.025406336411833763
18,6779,0.02519373595714569
18,6799,0.02274608612060547
18,6819,0.020474232733249664
18,6839,0.027075033634901047
18,6859,0.0235014408826828
18,6879,0.024593856185674667
18,6899,0.02847428433597088
18,6919,0.025941960513591766
18,6939,0.022373458370566368
18,6959,0.024072190746665
18,6979,0.023120321333408356
18,6999,0.024253536015748978
18,7019,0.02024201862514019
18,7039,0.018359845504164696
18,7059,0.026301514357328415
18,7079,0.024433575570583344
18,7099,0.02608848735690117
18,7119,0.02301352471113205
19,7139,0.02213405631482601
19,7159,0.02253098599612713
19,7179,0.030945871025323868
19,7199,0.025480642914772034
19,7219,0.02050783485174179
19,7239,0.021974295377731323
19,7259,0.023335788398981094
19,7279,0.02877654694020748
19,7299,0.02886892482638359
19,7319,0.021337449550628662
19,7339,0.024782143533229828
19,7359,0.03008558414876461
19,7379,0.02231973223388195
19,7399,0.023647217079997063
19,7419,0.024418776854872704
19,7439,0.024905074387788773
19,7459,0.025628169998526573
19,7479,0.02326427772641182
19,7499,0.028367217630147934
20,7519,0.01926228031516075
20,7539,0.023265181109309196
20,7559,0.024644359946250916
20,7579,0.027857746928930283
20,7599,0.027674896642565727
20,7619,0.025456439703702927
20,7639,0.02767227590084076
20,7659,0.024696514010429382
20,7679,0.027784107252955437
20,7699,0.021847348660230637
20,7719,0.025421803817152977
20,7739,0.026290779933333397
20,7759,0.025838326662778854
20,7779,0.021267663687467575
20,7799,0.027551820501685143
20,7819,0.028044436126947403
20,7839,0.02509794384241104
20,7859,0.02188972756266594
21,7879,0.026137590408325195
21,7899,0.027702972292900085
21,7919,0.019963501021265984
21,7939,0.0209770780056715
21,7959,0.026817839592695236
21,7979,0.025199126452207565
21,7999,0.023556193336844444
21,8019,0.028420578688383102
21,8039,0.028235435485839844
21,8059,0.020792987197637558
21,8079,0.024601859971880913
21,8099,0.01772308349609375
21,8119,0.02120879851281643
21,8139,0.02228672429919243
21,8159,0.024752847850322723
21,8179,0.02835169993340969
21,8199,0.024097001180052757
21,8219,0.02279372327029705
21,8239,0.022541772574186325
22,8259,0.021153584122657776
22,8279,0.018847011029720306
22,8299,0.02661680430173874
22,8319,0.020584985613822937
22,8339,0.018730800598859787
22,8359,0.02776944264769554
22,8379,0.0305636003613472
22,8399,0.019098501652479172
22,8419,0.025245338678359985
22,8439,0.02380317449569702
22,8459,0.027016881853342056
22,8479,0.02624441683292389
22,8499,0.021374128758907318
22,8519,0.023501109331846237
22,8539,0.022839419543743134
22,8559,0.020899921655654907
22,8579,0.025649383664131165
22,8599,0.02124323509633541
22,8619,0.023325562477111816
23,8639,0.03226044401526451
23,8659,0.021497268229722977
23,8679,0.02213495597243309
23,8699,0.022128775715827942
23,8719,0.022033771499991417
23,8739,0.025474434718489647
23,8759,0.025828411802649498
23,8779,0.02789226546883583
23,8799,0.023043818771839142
23,8819,0.024171728640794754
23,8839,0.026534821838140488
23,8859,0.023676656186580658
23,8879,0.02054547891020775
23,8899,0.025012727826833725
23,8919,0.020955055952072144
23,8939,0.022239848971366882
23,8959,0.019615426659584045
23,8979,0.02420608513057232
23,8999,0.023808009922504425
24,9019,0.02773086540400982
24,9039,0.024799253791570663
24,9059,0.025615788996219635
24,9079,0.020912230014801025
24,9099,0.026346981525421143
24,9119,0.020675871521234512
24,9139,0.029943546280264854
24,9159,0.02292686328291893
24,9179,0.027168897911906242
24,9199,0.023615969344973564
24,9219,0.0245745237916708
24,9239,0.023572590202093124
24,9259,0.022796325385570526
24,9279,0.018357297405600548
24,9299,0.02415577694773674
24,9319,0.01875430904328823
24,9339,0.0233069509267807
24,9359,0.02264094352722168
25,9379,0.026581808924674988
25,9399,0.023286571726202965
25,9419,0.02574188821017742
25,9439,0.02640913426876068
25,9459,0.020639454945921898
25,9479,0.025463402271270752
25,9499,0.027650371193885803
25,9519,0.025640323758125305
